id,Price,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation
314,108800000.0,Secondary, Чеховская,5.0,Moscow,3.0,108.8,57.1,15.6,3.0,3,Without renovation
315,53000000.0,Secondary, Арбатская,9.0,Moscow,3.0,96.9,59.0,11.1,2.0,5,Without renovation
316,44240000.0,Secondary, Фили,6.0,Moscow,3.0,63.2,34.1,11.9,40.0,41,Designer
317,105000000.0,Secondary, Белорусская,6.0,Moscow,3.0,145.0,75.4,18.6,3.0,6,Designer
318,47000000.0,Secondary, Белорусская,9.0,Moscow,3.0,103.8,59.0,15.0,6.0,6,Without renovation
319,67990000.0,Secondary, Белорусская,6.0,Moscow,3.0,111.0,40.0,15.8,5.0,6,Designer
320,170000000.0,Secondary, Кропоткинская,10.0,Moscow,3.0,117.0,51.0,6.0,3.0,5,European-style renovation
321,224900000.0,Secondary, Спортивная,9.0,Moscow,3.0,237.2,157.1,17.2,14.0,14,Designer
322,52500000.0,Secondary, Алексеевская,11.0,Moscow,3.0,92.0,70.0,20.0,4.0,21,Cosmetic
323,38000000.0,Secondary, Ростокино,13.0,Moscow,3.0,109.0,75.0,25.0,35.0,58,Designer
324,95700000.0,Secondary, Китай-город,11.0,Moscow,3.0,86.0,54.0,8.0,2.0,9,Designer
325,22450000.0,Secondary, ВДНХ,7.0,Moscow,3.0,83.5,49.7,12.5,16.0,22,Without renovation
326,67000000.0,Secondary, Динамо,1.0,Moscow,3.0,104.0,74.0,20.0,3.0,15,Designer
327,17500000.0,Secondary, Филатов Луг,10.0,Moscow,3.0,77.1,38.8,13.5,22.0,25,Without renovation
328,41500000.0,Secondary, Раменки,5.0,Moscow,3.0,106.7,40.0,30.0,15.0,17,Cosmetic
329,46000000.0,Secondary, Минская,28.0,Moscow,3.0,70.0,12.0,12.4,2.0,14,Without renovation
330,179000000.0,Secondary, Спортивная,11.0,Moscow,3.0,141.0,73.4,18.3,3.0,15,Designer
331,222000000.0,Secondary, Спортивная,8.0,Moscow,3.0,237.0,157.0,26.2,14.0,14,Designer
332,39900000.0,Secondary, Аминьевская,8.0,Moscow,3.0,84.9,48.2,21.0,18.0,31,Designer
333,39000000.0,Secondary, Динамо,7.0,Moscow,3.0,75.7,40.0,5.0,7.0,17,Designer
334,51000000.0,Secondary, Давыдково,5.0,Moscow,3.0,112.3,58.9,15.9,16.0,25,Designer
335,145000000.0,Secondary, Спортивная,5.0,Moscow,3.0,97.0,51.2,14.7,7.0,18,Designer
336,86000000.0,Secondary, Фрунзенская,5.0,Moscow,3.0,97.0,72.0,15.0,5.0,14,Designer
337,100000000.0,Secondary, Улица 1905 года,7.0,Moscow,3.0,95.0,60.0,15.0,11.0,21,Designer
338,33999000.0,Secondary, Кунцевская,4.0,Moscow,3.0,95.5,65.0,14.5,29.0,29,Without renovation
339,36000000.0,Secondary, Шелепиха,13.0,Moscow,3.0,77.0,36.0,25.0,4.0,6,Designer
340,42700000.0,Secondary, Молодёжная,6.0,Moscow,3.0,110.0,60.0,11.5,36.0,40,Designer
341,100000000.0,Secondary, Беговая,5.0,Moscow,3.0,90.53,47.9,14.1,10.0,21,European-style renovation
